ACTOR_DEBUG | 2020-04-26 03:15:47 | [main] actor.Actor (Actor.java:75) - Instantiating actor [Xander] on port [4001]...
ACTOR_DEBUG | 2020-04-26 03:15:47 | [Thread-3] actor.Actor (Actor.java:132) - Initializing a client for [Xander] to roll-call port 4003...
ACTOR_DEBUG | 2020-04-26 03:15:47 | [Thread-0] actor.Actor (Actor.java:132) - Initializing a client for [Xander] to roll-call port 4000...
ACTOR_DEBUG | 2020-04-26 03:15:47 | [Thread-2] actor.Actor (Actor.java:132) - Initializing a client for [Xander] to roll-call port 4002...
ACTOR_DEBUG | 2020-04-26 03:15:47 | [Thread-3] actor.Actor (Actor.java:149) - Bootstrap 1189529866 configured.
ACTOR_DEBUG | 2020-04-26 03:15:47 | [Thread-2] actor.Actor (Actor.java:149) - Bootstrap 2080007316 configured.
ACTOR_DEBUG | 2020-04-26 03:15:47 | [Thread-0] actor.Actor (Actor.java:149) - Bootstrap 1350100745 configured.
ACTOR_DEBUG | 2020-04-26 03:15:47 | [Thread-3] actor.Actor (Actor.java:151) - Roll-calling port 4003...
ACTOR_DEBUG | 2020-04-26 03:15:47 | [Thread-2] actor.Actor (Actor.java:151) - Roll-calling port 4002...
ACTOR_DEBUG | 2020-04-26 03:15:47 | [Thread-0] actor.Actor (Actor.java:151) - Roll-calling port 4000...
ACTOR_DEBUG | 2020-04-26 03:15:47 | [nioEventLoopGroup-2-3] actor.Actor$ClientHandler (Actor.java:332) - A new client handler has been instantiated by [Xander].
ACTOR_DEBUG | 2020-04-26 03:15:47 | [nioEventLoopGroup-2-2] actor.Actor$ClientHandler (Actor.java:332) - A new client handler has been instantiated by [Xander].
ACTOR_DEBUG | 2020-04-26 03:15:47 | [nioEventLoopGroup-2-1] actor.Actor$ClientHandler (Actor.java:332) - A new client handler has been instantiated by [Xander].
ACTOR_DEBUG | 2020-04-26 03:15:47 | [nioEventLoopGroup-2-2] actor.Actor$1 (Actor.java:146) - Pipeline from [Xander] to port 4002 initialized.
ACTOR_DEBUG | 2020-04-26 03:15:47 | [nioEventLoopGroup-2-3] actor.Actor$1 (Actor.java:146) - Pipeline from [Xander] to port 4003 initialized.
ACTOR_DEBUG | 2020-04-26 03:15:47 | [nioEventLoopGroup-2-1] actor.Actor$1 (Actor.java:146) - Pipeline from [Xander] to port 4000 initialized.
ACTOR_DEBUG | 2020-04-26 03:15:47 | [nioEventLoopGroup-2-1] actor.Actor$ClientHandler (Actor.java:338) - ChannelHandler 648134488 has connected to its target.
ACTOR_INFO | 2020-04-26 03:15:47 | [nioEventLoopGroup-2-1] actor.Actor$ClientHandler (Actor.java:347) - Roll-call sent from [Xander] to port 4000.
ACTOR_DEBUG | 2020-04-26 03:15:49 | [Thread-3] actor.Actor (Actor.java:154) - Client roll-calling port 4003 has closed.
ACTOR_DEBUG | 2020-04-26 03:15:49 | [Thread-2] actor.Actor (Actor.java:154) - Client roll-calling port 4002 has closed.
ACTOR_DEBUG | 2020-04-26 03:21:30 | [main] actor.Actor (Actor.java:75) - Instantiating actor [Xander] on port [4001]...
ACTOR_DEBUG | 2020-04-26 03:21:30 | [Thread-0] actor.Actor (Actor.java:132) - Initializing a client for [Xander] to roll-call port 4000...
ACTOR_DEBUG | 2020-04-26 03:21:30 | [Thread-2] actor.Actor (Actor.java:132) - Initializing a client for [Xander] to roll-call port 4002...
ACTOR_DEBUG | 2020-04-26 03:21:30 | [Thread-3] actor.Actor (Actor.java:132) - Initializing a client for [Xander] to roll-call port 4003...
ACTOR_DEBUG | 2020-04-26 03:21:30 | [Thread-0] actor.Actor (Actor.java:149) - Bootstrap 992615024 configured.
ACTOR_DEBUG | 2020-04-26 03:21:30 | [Thread-2] actor.Actor (Actor.java:149) - Bootstrap 1095659546 configured.
ACTOR_DEBUG | 2020-04-26 03:21:30 | [Thread-3] actor.Actor (Actor.java:149) - Bootstrap 2017623442 configured.
ACTOR_DEBUG | 2020-04-26 03:21:30 | [Thread-0] actor.Actor (Actor.java:151) - Roll-calling port 4000...
ACTOR_DEBUG | 2020-04-26 03:21:30 | [Thread-2] actor.Actor (Actor.java:151) - Roll-calling port 4002...
ACTOR_DEBUG | 2020-04-26 03:21:30 | [Thread-3] actor.Actor (Actor.java:151) - Roll-calling port 4003...
ACTOR_DEBUG | 2020-04-26 03:21:31 | [nioEventLoopGroup-2-2] actor.Actor$ClientHandler (Actor.java:332) - A new client handler has been instantiated by [Xander].
ACTOR_DEBUG | 2020-04-26 03:21:31 | [nioEventLoopGroup-2-3] actor.Actor$ClientHandler (Actor.java:332) - A new client handler has been instantiated by [Xander].
ACTOR_DEBUG | 2020-04-26 03:21:31 | [nioEventLoopGroup-2-1] actor.Actor$ClientHandler (Actor.java:332) - A new client handler has been instantiated by [Xander].
ACTOR_DEBUG | 2020-04-26 03:21:31 | [nioEventLoopGroup-2-2] actor.Actor$1 (Actor.java:146) - Pipeline from [Xander] to port 4000 initialized.
ACTOR_DEBUG | 2020-04-26 03:21:31 | [nioEventLoopGroup-2-3] actor.Actor$1 (Actor.java:146) - Pipeline from [Xander] to port 4003 initialized.
ACTOR_DEBUG | 2020-04-26 03:21:31 | [nioEventLoopGroup-2-1] actor.Actor$1 (Actor.java:146) - Pipeline from [Xander] to port 4002 initialized.
ACTOR_DEBUG | 2020-04-26 03:21:31 | [nioEventLoopGroup-2-2] actor.Actor$ClientHandler (Actor.java:338) - ChannelHandler 649757814 has connected to its target.
ACTOR_INFO | 2020-04-26 03:21:31 | [nioEventLoopGroup-2-2] actor.Actor$ClientHandler (Actor.java:347) - Roll-call sent from [Xander] to port 4000.
ACTOR_DEBUG | 2020-04-26 03:21:33 | [Thread-2] actor.Actor (Actor.java:154) - Client roll-calling port 4002 has closed.
ACTOR_DEBUG | 2020-04-26 03:21:33 | [Thread-3] actor.Actor (Actor.java:154) - Client roll-calling port 4003 has closed.
ACTOR_DEBUG | 2020-04-26 03:22:53 | [main] actor.Actor (Actor.java:75) - Instantiating actor [Xander] on port [4001]...
ACTOR_DEBUG | 2020-04-26 03:22:54 | [Thread-3] actor.Actor (Actor.java:132) - Initializing a client for [Xander] to roll-call port 4003...
ACTOR_DEBUG | 2020-04-26 03:22:54 | [Thread-2] actor.Actor (Actor.java:132) - Initializing a client for [Xander] to roll-call port 4002...
ACTOR_DEBUG | 2020-04-26 03:22:54 | [Thread-0] actor.Actor (Actor.java:132) - Initializing a client for [Xander] to roll-call port 4000...
ACTOR_DEBUG | 2020-04-26 03:22:54 | [Thread-0] actor.Actor (Actor.java:149) - Bootstrap 509076239 configured.
ACTOR_DEBUG | 2020-04-26 03:22:54 | [Thread-3] actor.Actor (Actor.java:149) - Bootstrap 1659471779 configured.
ACTOR_DEBUG | 2020-04-26 03:22:54 | [Thread-2] actor.Actor (Actor.java:149) - Bootstrap 972260313 configured.
